input,aspect_terms,aspect_category
how do you rate home ?,NULL, restaurant miscellaneous
i have never had cheescake like this .,cheescake, food quality
i thought i had died and gone to heaven .,NULL, food quality
"great spot , whether looking for a couple of drinks or quiet dinner .",spot, restaurant general
warm and friendly in the winter and terrific outdoor seating in the warmer months .,outdoor seating, ambience general
the food is great and they have a good selection of wines at reasonable prices .,food, food quality
we were less than impressed .,NULL, restaurant general
"while the ambiance and atmosphere were great , the food and service could have been a lot better .",ambiance, ambience general
"we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .",chicken casserole, food quality
probably would not go again . . .,NULL, restaurant general
"i  ve been to sapphire twice and both times the food was fine , if not good .",food, food quality
"stick with the chicken , beef , and lamb dishes .",chicken, food quality
"service is friendly , and never had a problem walking in and getting a table .",service, service general
skip dessert .,dessert, food quality
best reuben sandwich ever !,reuben sandwich, food quality
a classic !,NULL, food quality
do n  t miss bloom  s on your next trip to manhatten .,bloom  s, restaurant general
"it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york .",place, restaurant miscellaneous
thanks bloom  s for a lovely trip .,bloom  s, restaurant general
"the food was not fresh , the sauces were bland and very oily .",food, food quality
it just was n  t thai .,NULL, food quality
was surprisingly disappointed .,NULL, food quality
pizza was a little soggy .,pizza, food quality
ravioli was good . . . but i have to say that i found everything a bit overpriced .,ravioli, food quality
not enough wines by the glass either .,wines by the glass, drinks style_options
"service , however , was excellent . . . and i liked the setting / atmosphere a lot .",service, service general
"food was just average . . . if they lowered the prices just a bit , it would be a bigger draw .",food, food quality
authentic pakistani food .,pakistani food, food quality
"just straight up cheap , good food .",food, food quality
faan is sooo good .,faan, restaurant general
the design and atmosphere is just as good .,design, ambience general
bottles of wine are cheap and good .,bottles of wine, drinks prices
what more could you want ?,NULL, restaurant general
the food was actually aweful .,food, food quality
i  m not picky - but it was actually gross .,NULL, food quality
"the mussles were the fishiest things i  ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",mussles, food quality
"nice atmosphere , the service was very pleasant and the desert was good .",atmosphere, ambience general
this is the perfect date spot for williamsburg couples .,NULL, restaurant miscellaneous
the jukebox plays everything from italian opera to the strokes .,jukebox, ambience general
"the food is amazing , rich pastas and fresh doughy pizza .",food, food quality
"best of all is the warm vibe , the owner is super friendly and service is fast .",vibe, ambience general
"if only they delivered , they  d make a mint !",NULL, restaurant miscellaneous
go here for the drinks !,drinks, drinks quality
the drinks are amazing and half off till 8pm .,drinks, drinks quality
my fav was the sassy lassi . . .,sassy lassi, drinks quality
this is an amazing place to try some roti rolls .,roti rolls, food quality
i really recommend the very simple unda ( egg ) rolls .,unda ( egg ) rolls, food quality
"delicate spices , onions , eggs and a kick - ass roti .",spices, food quality
amazing !,NULL, food quality
"toons has recently been redone , so it  s now a very attractive space .",toons, ambience general
"in an area sadly lacking in decent thai food , this is one of the best spots .",thai food, food quality
"went here last night - nice decor , good service , but the food was surprisingly excellent .",decor, ambience general
"the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .",portions, food style_options
ca n  t wait to go back .,NULL, restaurant general
beef noodle soup is good as well .,beef noodle soup, food quality
the service is good and the resturant is clean .,service, service general
best taiwanese food in ny !,taiwanese food, food quality
i have been to rao  s probably 15 times the past 3 years and it keeps getting better .,rao  s, restaurant general
rao  s has the best service and atmosphere in nyc .,service, service general
good luck getting a table .,NULL, restaurant miscellaneous
my roommate and i love this place .,place, restaurant general
"we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me .",outdoor seating, ambience general
indoor was very cozy and cute .,indoor, ambience general
"the portion sizes here are huge , and the sushi is good .",portion sizes, food style_options
staff is very accomodating .,staff, service general
"excellent dumplings served amid clean , chic decor .",dumplings, food quality
"i got the $ 10 10 - piece dim sum combo , every bite of which was great .",$ 10 10 - piece dim sum combo, food quality
but $ 1 for each small piece ? ? ?,NULL, food prices
i wo n  t go back unless someone else is footing the bill .,NULL, restaurant prices
the decor is very simple but comfortable .,decor, ambience general
the food was delicious but do not come here on a empty stomach .,food, food quality
the portions are small but being that the food was so good makes up for that .,portions, food style_options
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,crabmeat lasagna, food quality
the staff there is very attentive and down to earth .,staff, service general
i loved it and would go again .,NULL, restaurant general
great indian food and the service is incredible .,indian food, food quality
the owner truly caters to all your needs .,owner, service general
"when family came in he gave them apps to test their palets , and then ordered for them .",NULL, service general
everyone was more then happy with his choices .,NULL, service general
great food and the prices are very reasonable .,food, food quality
the food here does a great service to the name ( cantonese that is . . . ) .,food, food quality
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork .,egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork, food quality
"try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread .",congee, food quality
simply some good tasting chinese food at incredible prices . . .,chinese food, food quality
service is not what you are coming here for . . .,service, service general
"whoever the jazz duo was , they were on point .",jazz duo, ambience general
"good music , great food , speedy service affordable prices .",music, ambience general
even the wine by the glass was good .,wine by the glass, drinks quality
"its a little out of the way if you do n  t live in the neighborhood , but definitely worth the trip from wherever you are .",NULL, location general
consistently good japanese tapas .,japanese tapas, food quality
always good drinks and service is pretty good ;,drinks, drinks quality
atmosphere is nice and relaxed too . . .,atmosphere, ambience general
a great place to meet up for some food and drinks . . .,place, restaurant miscellaneous
yakitori ( bbq meats ) is tasty too .,yakitori ( bbq meats ), food quality
"if you do n  t mind pre - sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",fish, food quality
price and quality of fish alone will keep us from making a return visit .,NULL, restaurant general
was n  t going to share but i feel obligated . . . while sitting at the sushi bar dining we watched the chef accidentally drop a piece of unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing .,chef, food quality
no thanks ! ! !,NULL, restaurant general
"this place , which is only a few months old , is perhaps queens  biggest secret !",place, restaurant general
"fabulous decor - makes you feel like you  re in a trendy manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you  re a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home . . . . . very soho / village / upper west side minus the expensive prices and pretentious clientele . . . . . all on roosevelt avenue !",decor, ambience general
we were seated outside and the waiter spilled red wine and hot tea on myself and my date .,waiter, service general
we were then shooed inside .,NULL, service general
"one would think we  d get an apology or complimentary drinks - instead , we got a snobby waiter would n  t even take our order for 15 minutes and gave us lip when we asked him to do so .",waiter, service general
"we left , never to return .",NULL, restaurant general
"with so many good restaurants on the uws , i do n  t need overpriced food , absurdly arrogant wait - staff who do n  t recognize they work at a glorified diner , clumsy service , and management that does n  t care .",food, food prices
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side .,service, service general
baluchi  s has solid food and a nice decor at reasonable prices .,baluchi  s, restaurant prices
the only problem is that the manager is a complete incompetent .,manager, service general
he offers subpar service and has no personality .,service, service general
"in fact , it appears he is going to go postal at any moment .",NULL, service general
there is no excuse for such lousy service !,service, service general
i have never before eaten 40 pieces of relatively good nigiri .,nigiri, food quality
you can do it here .,NULL, food style_options
$ 20 for all you can eat sushi can not be beaten .,all you can eat sushi, food prices
"i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .",areo, restaurant general
"most of the servers are very attentive , friendly and quite attractive .",servers, service general
"the vibe is very relaxed and cozy , service was great and the food was excellent !",vibe, ambience general
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went .,food, food quality
i would highly recommand requesting a table by the window .,table by the window, location general
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,service, service general
personal pans are the perfect size for those hungry nights .,personal pans, food style_options
i heartily recommend .,NULL, restaurant general
there is a downside if you  re ordering in - - the delivery guys have major attitude .,delivery guys, service general
never have i had such dramatic delivery guys ( a lot of huffing and panting and muttering under breath b / c i live in a walkup ) who always seem disappointed with their tips .,delivery guys, service general
"love the scene first off - the place has a character and nice light to it . . very fortunate , location wise .",scene, ambience general
the pizza was pretty good and huge .,pizza, food quality
the price very reasonable .,NULL, restaurant prices
we were 4 and got the family size penne a la vodka which was tremendously gigantic portion . . . a bucket of food literally .,penne a la vodka, food style_options
i would say that all was fine and tasty but the heaviness on my stomach someting that i ca n  t not mention or undermine .,NULL, food quality
"the pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol",pasta penne, food quality
i love it .,NULL, restaurant general
i plan on stopping by next week as well .,NULL, restaurant general
"i found it on a cold night , the perfect spot to warm up .",spot, restaurant miscellaneous
i recieved prompt service with a smile .,service, service general
"to me it exemplifies soho , cute , artsy , interesting .",NULL, ambience general
definately check it out ! ! !,NULL, restaurant general
this place blew me away . . . by far my new favorite restaurant on the uppereast side .,place, restaurant general
the wine list is extensive and impressive .,wine list, drinks style_options
love the atmosphere - felt like i was in paris .,atmosphere, ambience general
the mussels were fantastic and so was the dessert . . . definitely going to be back very soon .,mussels, food quality
i have been coming here for years and have nothing but good things to say about the service and the great staff at la lanterna .,service, service general
"over the years the host , vittorio , and his crew , have always treated me as family - - although with all the business this not - so - little gem does , it amazing he  s even able to remember a consistent but not - so - frequent visitor .",host, service general
"i  ve also been amazed at all the new additions in the past few years : a new jazz bar , the most fantastic dining garden , the best thin crust pizzas , and now a lasagna menu which is to die for ( these are not your average lasagnas ) !",dining garden, ambience general
i love this place !,place, restaurant general
keep up the good work guys !,NULL, restaurant general
i have to say i have never had a disapointing meal here .,meal, food quality
we could have made a meal of the yummy dumplings from the dumpling menu .,dumplings, food quality
"luckily we saved room for the bbq salmon , sea bass and crispy duck .",bbq salmon, food quality
love al di la,al di la, restaurant general
i recommend this place to everyone .,place, restaurant general
great food .,food, food quality
one of my favorite places in brooklyn .,NULL, restaurant general
"the pastas are incredible , the risottos ( particularly the sepia ) are fantastic and the braised rabbit is amazing .",pastas, food quality
overpriced and not tasty,NULL, food prices
it was totally overpriced - fish and chips was about $ 15 . . . .,NULL, food prices
tasty dog !,dog, food quality
"an awesome organic dog , and a conscious eco friendly establishment .",dog, food quality
one of the best hot dogs i have ever eaten .,NULL, food quality
ca n  t wait to go back .,NULL, restaurant general
but the best pork souvlaki i ever had is the main thing .,pork souvlaki, food quality
run do n  t walk .,NULL, restaurant general
super yummy pizza !,pizza, food quality
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant .,restaurant, ambience general
"i looove their eggplant pizza , as well as their pastas !",eggplant pizza, food quality
"we had half / half pizza , mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza !",half / half pizza, food style_options
"we had fun eating in there , we were there like around 3 a . m . in the morning !",NULL, restaurant general
"excellent food , although the interior could use some help .",food, food quality
great sake !,sake, drinks quality
"reliable , fresh sushi",sushi, food quality
the sashimi is always fresh and the rolls are innovative and delicious .,sashimi, food quality
have never had a problem with service save a missing rice once .,service, service general
delivery can be spot on or lacking depending on the weather and the day of the week .,delivery, service general
delivery guy sometimes get upset if you do n  t tip more than 10 % .,delivery guy, service general
best . sushi . ever .,sushi, food quality
this place has ruined me for neighborhood sushi .,sushi, food quality
"creative , consistent , fresh .",NULL, food quality
"excellent sashimi , and the millennium roll is beyond delicious .",sashimi, food quality
not cheap but very yummy .,NULL, food prices
"very , very nice",NULL, restaurant general
not only is the food,NULL, restaurant general
loved it,NULL, restaurant general
we had a very nice time .,NULL, restaurant general
"the waiter was attentive , the food was delicious and the views of the city were great .",waiter, service general
i  d definitely go back again .,NULL, restaurant general
great place to relax and enjoy your dinner,place, ambience general
there is something about their atmosphere that makes me come back nearly every week .,atmosphere, ambience general
"place is open till late , no dress code .",place, restaurant miscellaneous
good food : my favorite is the seafood spaghetti .,food, food quality
excellent food for great prices,food, food quality
my husband and i have been sold on this from the first visit .,NULL, restaurant general
the wait staff is very courteous and accomodating .,wait staff, service general
"the space is limited so be prepared to wait up to 45 minutes - 1 hour , but be richly rewarded when you savor the delicious indo - chinese food .",space, ambience general
there are no negatives to speak of .,NULL, restaurant general
the bestt !,NULL, restaurant general
my favorite place lol,place, restaurant general
its alright,NULL, restaurant general
"im not necessarily fanatical about this place , but it was a fun time for low pirces .",place, restaurant general
"lobster was good , nothing spectacular .",lobster, food quality
"its just a fun place to go , not a five star restaraunt .",restaraunt, restaurant general
had no flavor and the staff is rude and not attentive .,staff, service general
would never go back,NULL, restaurant general
i was n  t here for the pizza so i ca n  t comment on that yet but what i had was very good .,NULL, food quality
everyone was smiling so that made me feel welcome .,NULL, service general
i ordered the vitello alla marsala and i was pretty impressed .,vitello alla marsala, food quality
the veal and the mushrooms were cooked perfectly .,veal, food quality
the potato balls were not dry at all . . . in fact it was buttery .,potato balls, food quality
the only downside . . . they only take cash which is ok if you know about it ahead of time .,NULL, restaurant miscellaneous
i  ll be back for sure .,NULL, restaurant general
worst place on smith street in brooklyn,place, restaurant general
"very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .",bartender, service general
i would never recommend this place to anybody even for a casual dinner .,place, restaurant general
awesome,NULL, restaurant general
the food is always fresh . . .,food, food quality
overpriced japanese food with mediocre service,japanese food, food prices
went here on sat 1 / 26 and was disappointed .,NULL, restaurant general
food was luke warm .,food, food quality
i was looking for banana tempura for dessert and they dont have .,dessert, food style_options
not because you are ` ` the four seasons ` ` . . . – you are allowed to charge an arm and a leg for a romatic dinner .,the four seasons, restaurant prices
"the food was excellent as well as service , however , i left the four seasons very dissappointed .",food, food quality
i do not think dinner in manhattan should cost $ 400 . 00 where i am not swept off my feet .,dinner, food prices
"red dragon roll - my favorite thing to eat , of any food group - hands down",red dragon roll, food quality
"if you do n  t like it , i do n  t know what to tell you .",NULL, food quality
the seafood dynamite is also otherworldly .,seafood dynamite, food quality
i  m not even going to bother to describe it ; it speaks for itself .,NULL, food quality
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",spot, ambience general
"in the summer months , the back garden area is really nice .",back garden area, ambience general
"the dancing , white river and millenium rolls are musts .",dancing , white river and millenium rolls
so good,NULL, restaurant general
i can eat here every day of the week really lol love this place . . . ),place, restaurant general
gross food – wow -,food, food quality
i ca n  t remember the last time i had such gross food in new york .,food, food quality
and $ 11 for a plate of bland guacamole ?,guacamole, food quality
"do n  t get me started on the margaritas , either .",margaritas, drinks quality
mine tasted like the bartender had forgotten to add the tequila .,NULL, drinks quality
"oh , and i never write reviews - - i just was so moved by how bad this place was , i felt it was my duty to spread the word .",place, restaurant general
great indian food !,indian food, food quality
when i got there the place was packed but they made sure to seat me quickly .,NULL, service general
"the food was good , the place was clean and affordable .",food, food quality
i noticed alot of indian people eatting there which is a great sign for an indian place !,indian place, restaurant miscellaneous
"this is one of my favorite spot , very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",food, food quality
the staff is very good .,staff, service general
love their drink menu .,drink menu, drinks style_options
i highly recommend this beautiful place .,place, ambience general
nice for one time special occasion .,NULL, restaurant miscellaneous
they honored reservation on sunday afternoon very well .,NULL, service general
we were offered water for the table but were not told the voss bottles of water were $ 8 a piece .,voss bottles of water, drinks prices
food was ok .,food, food quality
nice view of river and nyc .,view of river and nyc, location general
i come here enjoy very much with husband .,NULL, restaurant general
remind me of home .,NULL, restaurant miscellaneous
great survice,survice, service general
mmmmmmmmmmmmmmm so delicious,NULL, food quality
a beautifully designed dreamy egyptian restaurant that gets sceney at night .,egyptian restaurant, ambience general
watch the talented belly dancers as you enjoy delicious baba ganoush that  s more lemony than smoky .,baba ganoush, food quality
"oh , and there  s hookah .",hookah, ambience general
raymond the bartender rocks !,raymond, service general
pacifico is a great place to casually hang out .,pacifico, restaurant miscellaneous
"the drinks are great , especially when made by raymond .",drinks, drinks quality
the omlette for brunch is great . . .,omlette for brunch, food quality
"quacamole at pacifico is yummy , as are the wings with chimmichuri .",quacamole, food quality
a weakness is the chicken in the salads .,chicken in the salads, food quality
"it  s just average , just shredded , no seasoning on it .",NULL, food quality
"also , i personally was n  t a fan of the portobello and asparagus mole .",portobello and asparagus mole, food quality
"overall , decent food at a good price , with friendly people .",food, food quality
best indian restaurant in the city,indian restaurant, restaurant general
this small astoria souvlaki spot makes what many consider the best gyros in new york .,gyros, food quality
"what really makes it shine is the food , which is aggressively seasoned with cyrpriot spices , and all made in - house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .",food, food quality
"all the various greek and cypriot dishes are excellent , but the gyro is the reason to come - - if you do n  t eat one your trip was wasted .",greek and cypriot dishes, food quality
best restaurant in brooklyn,restaurant, restaurant general
the best !,NULL, restaurant general
"great food , amazing service , this place is a class act .",food, food quality
the veal was incredible last night .,veal, food quality
"fresh , mind blowing flavors .",NULL, food quality
this place is a must visit !,place, restaurant general
"delicious , creative and fun .",NULL, food quality
got a date ? go here !,NULL, restaurant general
every time i have a special occasion with my boyfriend i have a hard time going anywhere else .,NULL, restaurant miscellaneous
it is so romantic .,NULL, ambience general
"its dark , and cozy . . there is always jazz music playing when we go .",NULL, ambience general
most of the booths allow you to sit next to eachother without looking like  that  couple .,booths, ambience general
the food is all shared so we get to order together and eat together .,food, food style_options
i  ve enjoyed 99 % of the dishes we  ve ordered with the only exceptions being the occasional too - authentic - for - me dish ( i  m a daring eater but not that daring ) .,dishes, food quality
once you try it for a special occasion beware . . you ca n  t stop !,NULL, restaurant miscellaneous
"you  ll be there for every anniversary , birthday , valentines day . . .",NULL, restaurant miscellaneous
for a fabulous wedding !,NULL, restaurant miscellaneous
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,atmosphere, ambience general
service was wonderful ;,service, service general
everyone was cheerfully cooperative and helpful .,NULL, service general
"paul , the maitre d  , was totally professional and always on top of things .",paul, service general
thank you everyone at water  s edge .,water  s edge, restaurant general
would not go back .,NULL, restaurant general
"service ok but unfriendly , filthy bathroom .",service, service general
"the bar drinks were eh , ok to say the least .",bar drinks, drinks quality
the stuff tilapia was horrid . . . tasted like cardboard .,stuff tilapia, food quality
"we thought the dessert would be better , wrong !",dessert, food quality
$ 170 down the toilet . . .,NULL, restaurant general
"oh speaking of bathroom , the mens bathroom was disgusting .",mens bathroom, ambience general
"the floor was wet , the trash can filled with hand towels n all over the floor , no soap , and no hand towels left .",NULL, ambience general
good experience,NULL, restaurant general
the wine list was extensive - though the staff did not seem knowledgeable about wine pairings .,wine list, drinks style_options
the bread we received was horrible - rock hard and cold - and the ` ` free   appetizer of olives was disappointing .,bread, food quality
"however , our main course was wonderful .",main course, food quality
i had fish and my husband had the filet - both of which exceeded our expectations .,fish, food quality
"the dessert ( we had a pear torte ) was good - but , once again , the staff was unable to provide appropriate drink suggestions .",pear torte, food quality
when we inquired about ports - the waitress listed off several but did not know taste variations or cost .,waitress, service general
"all in all , i would return - as it was a beautiful restaurant - but i hope the staff pays more attention to the little details in the future .",restaurant, restaurant general
"short and sweet – seating is great : it  s romantic , cozy and private .",seating, ambience general
the boths are not as small as some of the reviews make them out to look they  re perfect for 2 people .,boths, ambience general
the service was extremely fast and attentive ( thanks to the service button on your table ) but i barely understood 1 word when the waiter took our order .,service, service general
over all the looks of the place exceeds the actual meals .,looks, ambience general
so what you really end up paying for is the restaurant not the food .,restaurant, restaurant prices
will prob . not return but it is a great dinning experience to try at least once .,NULL, restaurant general
noodle pudding is exactly the type of service and food i enjoy .,service, service general
"servers are all different , greg is my favorite .",greg, service general
"sometimes tables do n  t understand his sense of humor but it  s refreshing to have a server who has personality , professionalism , and respects the privacy of your dinner .",server, service general
this is the first place i  ve been that a runner remembers my order . . . hope he likes his job because i have half a mind to steal him for my restaurant .,runner, service general
prices are fair across the board for both food and bev .,food, food prices
"i go out to eat and like my courses , servers are patient and never rush courses or force another drink .",servers, service general
amazing fresh dogs but best of all endless toppings ! ! !,dogs, food quality
this place had all the trimmings and i mean all .,trimmings, food style_options
"peppers , onions , relish , chilli , cheeses , you name it .",NULL, food style_options
amazing fun for hot dog lovers of all ages please do yourself a favor and check this place out ! ! ! !,hot dog, food quality
best dining experience in the west village !,NULL, restaurant general
stepping into casa la femme last night was a true experience unlike any other in new york !,casa la femme, restaurant general
highly impressed from the decor to the food to the hospitality to the great night i had !,decor, ambience general
the have a great cocktail with citrus vodka and lemon and lime juice and mint leaves that is to die for !,cocktail with citrus vodka and lemon and lime juice and mint leaves, drinks quality
we were drawn into the belly dancing show that captivated the crowd .,belly dancing show, ambience general
i never write on these sites but this restaurant is def worth commending !,restaurant, restaurant general
maggot in the food !,food, food quality
"the menu looked great , and the waiter was very nice , but when the food came , it was average .",menu, food style_options
"nevertheless , i finished my plate , and that  s when i found a maggot in mushroom sauce at the bottom .",mushroom sauce, food quality
"i showed it to the manager , and he smilingly apologized and brought us two free desserts ( but did not ask us what we wanted and so brought the last two desserts we would have asked for ) .",manager, service general
"the manager finally said he would com # # p the two glasses of wine ( which cost less than the food ) , and made it seem like a big concession .",manager, service general
we paid and left because we did n  t feel like arguing any more .,NULL, service general
"i have worked in restaurants and cook a lot , and there is no way a maggot should be able to get into well prepared food .",food, food quality
"for a restaurant with such a good reputation and that is usually so packed , there was no reason for such a lack of intelligent customer service .",restaurant, restaurant miscellaneous
unhygienic,NULL, food quality
i do not recommend .,NULL, restaurant general
i got hair in my food 2 times of then !,food, food quality
"great place , great value .",place, restaurant general
"the food is flavorful , plentiful and reasonably priced .",food, food quality
the atmosphere is relaxed and casual .,atmosphere, ambience general
it  s a great place to order from or sit - in .,place, restaurant miscellaneous
awesome,NULL, restaurant general
"inexpensive , unassuming , great time !",NULL, restaurant prices
sushi experience was unbelievable with my fiance .,sushi, food quality
try it !,NULL, restaurant general
very pleased,NULL, restaurant general
good creative rolls !,rolls, food quality
"yamato is an excellent place to go if youre not into sashimi , or if you have friends who doesnt like sushi much .",yamato, restaurant miscellaneous
"they have great rolls , the triple color and norwegetan rolls , are awesome and filling .",rolls, food quality
"one special roll and one regular roll is enough to fill you up , but save room for dessert !",dessert, food quality
"they have a delicious banana chocolate dessert , as well as a great green tea tempura .",banana chocolate dessert, food quality
the appetizers are also delicious !,appetizers, food quality
mazing interior .,interior, ambience general
great food !,food, food quality
i  ve had my fair share of modern japanese and this spot delivers .,modern japanese, food quality
"the atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .",atmosphere, ambience general
"if you  re into being lost when you  re just five feet from your table then hey , that  s a good thing .",NULL, ambience general
despite the confusing mirrors this will likely be my go - to for modern japanese food for the foreseeable future .,modern japanese food, food quality
"indo chinese food , pretty good . . .",indo chinese food, food quality
not a very fancy place but very good chinese style indian food .,place, ambience general
"the chicken lollipop is my favorite , most of the dishes ( i have to agree with a previous reviewer ) are quite oily and very spicy , espeically the chilli chicken .",chicken lollipop, food quality
"my mom originally introduced me to this place , but even she ( being indian ) feels the food can be somewhat over the top spicy and far too oily .",food, food quality
still we keep going back : ),NULL, restaurant general
i was speechless by the horrible food .,food, food quality
"i attended a holiday dinner at the restaurant , and the food was majorly disappointing .",food, food quality
"i was so stunned , and i left the dinner hungry and majorly disappointing .",NULL, restaurant general
this place survives on reputation alone .,place, restaurant miscellaneous
i will never return .,NULL, restaurant general
best in all of nyc,NULL, restaurant general
"this is the most wonderful restaurant in all of new york city , not just brooklyn . . .",restaurant, restaurant general
"for 7 years they have put out the most tasty , most delicious food and kept it that way . . .",food, food quality
"never swaying , never a bad meal , never bad service . . .",meal, food quality
you should travel from the bronx to try it . . .,NULL, restaurant general
"great food , great wine list , great service in a great neighborhood . . .",food, food quality
so delicious ! ! ! ! ! !,NULL, food quality
patsy  s pizza = true love,patsy  s pizza, restaurant general
hands down the best pizza on the planet .,pizza, food quality
"in about 12 minutes , the thing is gone .",NULL, food quality
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs, food quality
great toppings definitely a place you need to check out for late night munchies or a mid day boost !,toppings, food quality
great taste,NULL, food quality
"great , original taste .",NULL, food quality
"for me dishes a little oily , but overall dining experience good .",dishes, food quality
helpful service and average price per dish $ 10 .,service, service general
great food,food, food quality
this place has great indian chinese food .,indian chinese food, food quality
the flavors are amazing and the value is phenomenal .,NULL, food quality
"be prepared to wait , because the place is pretty tiny .",place, restaurant miscellaneous
"also , they do not take credit card so come with cash !",NULL, restaurant miscellaneous
"even though the place is not beautiful , the food speaks for itself .",place, ambience general
"best indian chinese in the city , by far !",indian chinese, food quality
amazing my favorite ! ! !,NULL, restaurant general
"i came across village underground by accident , now i go there all the time .",village underground, restaurant general
"the service is amazing , i  ve had different waiters and they were all nice , which is a rare thing in nyc .",service, service general
"the dj is awesome , i have been there for my birthday and a bunch of other times with friends and i keep going back .",dj, ambience general
you can get a table without a reservation if you get there early i they do n  t make you by bottles .,NULL, service general
which lets face it . . . . at times it  s a good thing .,NULL, service general
in the end you end up with a fair tab and nothing but a great time ! ! !,NULL, restaurant prices
highly recommended !,NULL, restaurant general
"one of the best , if not the best , restaurants in park slope ( and ny in general )",NULL, restaurant general
everything on the menu is great .,menu, food quality
this establishment is the real deal .,establishment, restaurant general
"wish ny had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",food, food quality
but $ 500 for a dinner for two that did n  t include wine ?,dinner for two, food prices
"look , the appetizers were really good .",appetizers, food quality
the entree was also very good .,entree, food quality
"ca n  t argue about that , but they are clearly over priced .",NULL, food prices
what you are paying for is the environment and the name .,environment, ambience general
"yes , the place is classy and beautiful , but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while .",place, ambience general
which of course is not real kobe but wagyu beef .,NULL, food quality
surprised that a place of this caliber would advertise it as kobe .,NULL, restaurant miscellaneous
vanison was good but not amazing .,vanison, food quality
bison was quite excellent however .,bison, food quality
dessert : pure disaster .,dessert, food quality
just not good at all .,NULL, food quality
some pineapple covered in a glaze of some kind and some pear tart thing not impressive at all .,NULL, food style_options
"i read reviews that called the restaurant too expensive and i thought to myself , but may be it is worth it .",restaurant, restaurant prices
"the four seasons has history and it is a sort of landmark of new york city restaurants , but trust me , they will charge you through the nose just so that you can say ` ` i  ve been to the four seasons restaurant   .",the four seasons, restaurant miscellaneous
"all in all , the food was great ( except for the dessserts ) .",food, food quality
"if you are going for the food , it will not be worth it .",food, food quality
"you would think they would make up for it with service , sadly , no .",service, service general
"service was just ok , it is not what you  d expect for $ 500 .",service, service general
terrible waste of money . . scammers,NULL, restaurant general
i agree that dining at casa la femme is like no other dining experience !,casa la femme, restaurant general
i am actually offended to have spent so much money on such a bad experience .,NULL, restaurant general
i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time .,casa la femme, restaurant general
"our visit their to say the least , was an unpleasant and costly experience !",NULL, restaurant general
and even more so unpleasant because it was so costly for such an unpleasant experience .,NULL, restaurant general
we did arrive late for our reservation so i can not complain too much about the wait for a table .,wait, service general
although we were told 10 - 15 minutes and it was more like 45 minutes .,NULL, service general
we were ushered to the bar to wait momentarily and upon arrival were so excited .,NULL, restaurant general
the place is beautiful !,place, ambience general
the hostess was very pleasant .,hostess, service general
our experience did not ever get any better .,NULL, restaurant general
for each course we waited over 1 / 2 hour to 45 minutes and were never offered a drink .,NULL, service general
we also asked for hooka six times and the waiter kept telling us one minute and never returning with the hooka .,waiter, service general
after the 4th time i asked again and the waiter than said after our dinner .,waiter, service general
we asked for beverages and never received them .,NULL, service general
we asked for sides which the waiter than admitted that he forgot to put in that part of our order .,waiter, service general
my chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin .,chicken, food quality
i would not expect this for a $ 55 dinner .,dinner, food quality
